Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,state_abbr,lat,lon
"December 31, 2016",Georgia,Lenox (El Dorado),27 Briarwood Ct,2,2,,GA,31.3568172,-83.49822789999999
"December 31, 2016",Texas,Houston,3704 Fannin Street,1,3,,TX,29.7379961,-95.3790282
"December 30, 2016",Ohio,Mansfield,3230 Possum Run Rd,0,5,,OH,40.6711999,-82.49780009999999
"December 30, 2016",Connecticut,Wallingford,95 S Turnpike Rd,2,3,,CT,41.4494322,-72.8451887
"December 28, 2016",Georgia,Columbus,2914 10th Street,1,4,,GA,32.464807,-84.948577
"December 25, 2016",Illinois,Chicago,8600 block of S Maryland Ave,3,4,,IL,41.73833459999999,-87.60388379999999
"December 25, 2016",Alabama,Ozark,858 US-231,0,4,,AL,31.4498175,-85.6617491
"December 25, 2016",New York,Mount Vernon,4 North 3rd Avenue,1,5,,NY,40.9124997,-73.8367044
"December 24, 2016",North Carolina,Madison,490 K Ford Rd,0,7,,NC,36.389223,-80.00782199999999
"December 24, 2016",North Carolina,Wilson,2241 Banks Lane East,4,0,,NC,35.7313199,-77.8730269
"December 23, 2016",Alabama,Birmingham,3813 Richard Arrington Boulevard North,1,3,,AL,33.5383163,-86.78253930000001
"December 23, 2016",Illinois,Chicago,4900 block of W Hubbard,0,4,,IL,41.8888521,-87.7482263
"December 17, 2016",Illinois,Chicago (Roseland),100 block of W 105th St,5,0,,IL,41.7036979,-87.62593369999999
"December 17, 2016",North Carolina,Charlotte,4115 N. Tryon Street,0,4,,NC,35.2579791,-80.7965217
"December 16, 2016",Illinois,Chicago,13th and South Kedzie,0,4,,IL,41.8805157,-87.70594489999999
"December 16, 2016",Illinois,Chicago,4300 block of South Rockwell,2,2,,IL,41.81559,-87.6895193
"December 12, 2016",California,Sacramento,4800 block of Myrtle Avenue,1,3,,CA,38.6530856,-121.3526065
"December 11, 2016",New York,Brooklyn,192 Knickerbocker Ave,0,4,,NY,40.7035537,-73.9271874
"December 11, 2016",Florida,Orlando (Pine Hills),4305 N Pine Hills Rd,1,4,,FL,28.5959693,-81.4507728
"December 11, 2016",Maryland,Baltimore,3916 South Hanover Street,0,5,,MD,39.2349403,-76.61171139999999
"December 11, 2016",North Carolina,Rocky Mount,1200 block of East Highland Ave,0,4,,NC,35.9468943,-77.7797605
"December 9, 2016",Texas,Channelview,15300 block of Market,4,0,,TX,29.7760599,-95.11465330000001
"December 9, 2016",California,Fresno,842 Fresno Street,0,4,,CA,36.7276816,-119.8034648
"December 5, 2016",New Mexico,Albuquerque,1532 Stagecoach Lane,4,1,,NM,35.0482007,-106.4909978
"December 3, 2016",California,Los Angeles,91st Street and Western Avenue,0,6,,CA,33.9545261,-118.3090184
"December 2, 2016",New Jersey,Bloomfield,3 1st Ave,0,6,,NJ,40.7700508,-74.1888347
"December 1, 2016",California,Clearlake Oaks,,1,3,,CA,39.0262841,-122.6719304
"November 30, 2016",Maryland,Baltimore,2901 Garrison Blvd,2,4,,MD,39.3208039,-76.6770866
"November 28, 2016",Texas,Mission (Palmview),1840 West Palma Vista Drive,1,3,,TX,26.2340715,-98.37853969999999
"November 28, 2016",California,Wilmington,1067 McDonald Avenue,0,4,,CA,33.7843593,-118.2715054
"November 28, 2016",California,San Pedro,300 block of West 2nd Street,0,4,,CA,33.7423786,-118.2835567
"November 27, 2016",Louisiana,New Orleans,100 block of Bourbon Street,1,9,,LA,29.9542063,-90.0691878
"November 27, 2016",Missouri,Kansas City,Gregory and Prospect,0,7,,MO,38.9980331,-94.5568984
"November 26, 2016",Illinois,Chicago,8800 block of S Exchange Ave,1,5,,IL,41.7353719,-87.5530568
"November 25, 2016",Louisiana,New Orleans,Magnolia St and Felicity St,0,4,,LA,29.944205,-90.08645
"November 24, 2016",Kentucky,Louisville,4501 W Broadway,2,4,,KY,38.2507312,-85.8277931
"November 24, 2016",New York,Albany,77 Central Ave,1,3,,NY,42.6591954,-73.76587339999999
"November 23, 2016",Mississippi,Olive Branch,928 Cross Road,0,4,,MS,34.908085,-89.8413293
"November 22, 2016",Florida,Clewiston,1068 Harlem Academy Ave,1,4,,FL,26.7371249,-80.95310529999999
"November 18, 2016",Illinois,Chicago,5000 block of W Wabansia,0,4,,IL,41.9116011,-87.7512009
"November 17, 2016",Tennessee,Dyersburg,160 Longfellow,1,7,,TN,36.030066,-89.36445599999999
"November 13, 2016",Florida,Jacksonville,5105 Cleveland Rd,3,2,,FL,30.364945,-81.70597509999999
"November 13, 2016",Texas,San Antonio,8000 Midcrown,0,4,,TX,29.5074775,-98.3800289
"November 13, 2016",California,San Diego,3800 block of Marlborough Avenue,3,2,,CA,32.7477854,-117.1057279
"November 13, 2016",Florida,Orlando,Conley Street and South Ivey Lane,0,4,,FL,28.5325363,-81.43433770000001
"November 12, 2016",California,Sacramento,8600 block of Ardith Drive,1,5,,CA,38.456391,-121.3840833
"November 12, 2016",Missouri,Kansas City,21st St and Cleveland Ave,1,3,,MO,39.065808,-94.539225
"November 12, 2016",Connecticut,Bridgeport,2500 Park Avenue,0,5,,CT,41.1922434,-73.214092
"November 11, 2016",Texas,Houston,7705 Channelside Street,0,4,,TX,29.7172188,-95.28309709999999
"November 10, 2016",Texas,Houston,6610 S Sam Houston Pkwy W,1,3,,TX,29.6099351,-95.48423559999999
"November 9, 2016",Washington,Seattle,1524 3rd Ave,0,5,,WA,47.6104626,-122.3380822
"November 9, 2016",Illinois,Chicago,3400 block of W Monroe,1,3,,IL,41.8795914,-87.7109924
"November 9, 2016",Tennessee,Memphis,1800 block of East Brooks Road,0,4,,TN,35.0609342,-90.003693
