Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,state_abbr,lat,lon
"February 28, 2019",California,Oakland,9755 Edes Ave,1,3,,CA,37.7364154,-122.1841065
"February 22, 2019",Alabama,Birmingham,1100 block of Carnation Dr,2,2,,AL,33.610606,-86.6971622
"February 21, 2019",Maryland,Baltimore,500 block of Bloom St,1,4,,MD,39.3083747,-76.6365099
"February 21, 2019",Kentucky,Elizabethtown,600 N Miles St,2,2,,KY,37.702787,-85.8575134
"February 21, 2019",Texas,Houston,12800 block of Eastbrook Dr,2,2,,TX,29.7919896,-95.2116111
"February 20, 2019",Tennessee,Covington,529 N College St,0,4,,TN,35.5710678,-89.6484222
"February 17, 2019",Texas,Henderson,504 S Van Buren St,2,2,,TX,32.1494737,-94.8018101
"February 17, 2019",Indiana,Evansville,664 E Illinois St,0,5,,IN,37.979329,-87.554693
"February 17, 2019",Louisiana,New Orleans,Tulane Ave and Elk Pl,1,5,,LA,29.9547129,-90.0748909
"February 16, 2019",Mississippi,Clinton,1214 Foxhill Dr,5,0,,MS,32.3524829,-90.3194259
"February 15, 2019",Illinois,Aurora,641 Archer Ave,6,6,,IL,41.7563683,-88.33273679999999
"February 14, 2019",Florida,Jacksonville,5905 Redpoll Ave,2,2,,FL,30.3961238,-81.74005009999999
"February 11, 2019",Texas,Livingston,3628 FM 3126,5,0,,TX,30.7249679,-95.05633530000001
"February 9, 2019",Virginia,Petersburg,109 Perry St,0,4,,VA,37.2247565,-77.4082937
"February 6, 2019",New York,Brooklyn,1778 Fulton St,1,3,,NY,40.67908,-73.9283693
"February 5, 2019",Texas,San Antonio,538 Hot Wells Blvd,2,2,,TX,29.367952,-98.45898190000001
"February 4, 2019",District of Columbia,Washington,2341 Pennsylvania Avenue SE,0,4,,,38.8736444,-76.9717545
"February 4, 2019",Louisiana,Baton Rouge,4000 block of Topeka St,0,4,,LA,30.4856355,-91.161113
"February 3, 2019",California,Palm Springs,E Sunny Dunes Rd and El Placer Rd,4,0,,CA,33.8122657,-116.5062457
"February 3, 2019",Illinois,Chicago,938 E 75th St,2,5,,IL,41.7588199,-87.60131830000002
"February 1, 2019",California,San Diego,6800 block of Springfield St,0,4,,CA,32.728596,-117.0521653
"January 28, 2019",Texas,Houston,7815 Harding St,2,4,,TX,29.7093964,-95.28181119999999
"January 27, 2019",Alabama,Birmingham,Avenue O and Warrior Rd,0,5,,AL,33.4932938,-86.8919112
"January 26, 2019",Louisiana,Gonzales,42350 Church Point Rd,5,0,,LA,30.2405151,-90.8928986
"January 26, 2019",Indiana,Indianapolis,2957 N Sherman Dr,0,5,,IN,39.8102247,-86.1023471
"January 26, 2019",Georgia,Albany,300 block of West Roosevelt,0,4,,GA,31.5814972,-84.15372289999999
"January 26, 2019",New Jersey,Newark,612 Bergen St,1,3,,NJ,40.723135,-74.1992269
"January 24, 2019",Georgia,Rockmart,148 W Church Rd,4,1,,GA,33.9991483,-85.06046429999999
"January 24, 2019",Pennsylvania,State College,1450 S Atherton St,4,1,,PA,40.7843394,-77.83994430000001
"January 23, 2019",Florida,Sebring,1901 US 27 S,5,0,,FL,27.4705293,-81.4584964
"January 20, 2019",Florida,Miami,26133 SW 139th Ave,0,4,,FL,25.5242164,-80.41646949999999
"January 19, 2019",Pennsylvania,Lebanon,1140 Church St,0,4,,PA,40.343537,-76.4315529
"January 19, 2019",South Carolina,Gaffney,1435 Wilcox Ave,1,4,,SC,35.11063490000001,-81.6040702
"January 19, 2019",Texas,Houston,7041 Sherman St,3,2,,TX,29.7372539,-95.299408
"January 19, 2019",Illinois,Chicago,4400 block of W Madison St,0,4,,IL,41.881017,-87.73576399999999
"January 19, 2019",Florida,Jacksonville,11445 Brian Lakes Drive,3,2,,FL,30.2693846,-81.8562012
"January 17, 2019",Kentucky,Owensboro,940 Audubon Ave,3,1,,KY,37.765196,-87.12742279999999
"January 16, 2019",California,Palmdale,Ranch Center Dr and 40th St W,3,1,,CA,34.5883663,-118.2033567
"January 16, 2019",Florida,Jacksonville,Emerson St and Spring Park Rd,1,5,,FL,30.2910085,-81.6257643
"January 15, 2019",Arkansas,Little Rock,5420 Baseline Rd,1,3,,AR,34.6693174,-92.3386118
"January 13, 2019",Arizona,Phoenix,2445 E Van Buren St,1,5,,AZ,33.4510169,-112.0280608
"January 6, 2019",New Mexico,Roswell,1300 block of W College Blvd,0,4,,NM,33.4085055,-104.5396624
"January 4, 2019",Virginia,Hurt,3197 Shula Dr,3,2,,VA,37.0559889,-79.33295199999999
"January 4, 2019",California,Torrance,22501 Hawthorne Blvd,3,4,,CA,33.8239827,-118.3523128
"January 3, 2019",Arizona,Yuma,3800 block of E. County 18½ St,1,3,,AZ,32.5603613,-114.5653148
"January 2, 2019",Arkansas,Jonesboro,3516 Galaxy St,1,3,,AR,35.8222345,-90.6585807
"January 1, 2019",South Carolina,Columbia,1709 Decker Blvd,0,5,,SC,34.0437454,-80.941347
"January 1, 2019",Florida,Tallahassee,2020 W Pensacola St,0,5,,FL,30.4421089,-84.31853869999999
