Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,state_abbr,lat,lon
"December 31, 2017",Colorado,Littleton (Highlands Ranch),3404 E County Line Rd,2,6,,CO,39.565952,-104.9491766
"December 31, 2017",Illinois,Chicago,2335 Howard St,0,4,,IL,42.019447,-87.6890913
"December 31, 2017",New Jersey,Long Branch,635 Wall St,4,0,,NJ,40.292499,-74.0031348
"December 27, 2017",Nevada,Las Vegas,3750 E Bonanza Rd,2,2,,NV,36.175356,-115.094234
"December 26, 2017",Florida,Miami,NW 18th Ave and 86th Ter,0,5,,FL,25.8532542,-80.2276661
"December 24, 2017",Mississippi,Vicksburg,1111 Mulberry Street,0,5,,MS,32.3516972,-90.88286889999999
"December 24, 2017",Alabama,Troy,100 block of Chapman St,1,4,,AL,31.8090063,-85.96004359999999
"December 23, 2017",Louisiana,Eunice,100 block of City Avenue,1,3,,LA,30.48440789999999,-92.4041661
"December 23, 2017",Alabama,Birmingham,3rd Ave N and 9th St N,0,4,,AL,33.509112,-86.822006
"December 21, 2017",Louisiana,Lafayette,1500 block of N University Avenue,0,4,,LA,30.2493046,-92.0347159
"December 21, 2017",Pennsylvania,Philadelphia,6600 block of Dorel St,1,3,,PA,39.9180218,-75.227874
"December 16, 2017",Mississippi,Mc Cool (Mccool),Ferguson Rd,0,4,,MS,33.1777395,-89.4401956
"December 15, 2017",California,Pacoima,13041 Jouett Street,0,5,,CA,34.265919,-118.4172002
"December 13, 2017",Ohio,Columbus,200 block of E Barthman Ave,1,3,,OH,39.9240933,-82.98999769999999
"December 12, 2017",Kentucky,Louisville,17th and Gallagher Streets,0,4,,KY,38.2389339,-85.7836121
"December 12, 2017",Texas,Garland,1301 Rivercrest Ln,0,4,,TX,32.924382,-96.6059777
"December 9, 2017",Massachusetts,Boston,Proctor St,0,4,,MA,42.3268058,-71.0695204
"December 6, 2017",Illinois,Chicago,4620 N Broadway,0,4,,IL,41.9653994,-87.6579378
"December 4, 2017",Pennsylvania,Pittsburgh,7200 block of Everton St,2,2,,PA,40.4632469,-79.8935051
"December 3, 2017",Tennessee,Memphis,656 Marshall Ave,1,3,,TN,35.1402364,-90.0388881
"December 2, 2017",Michigan,Detroit,5200 Woodward Avenue,0,4,,MI,42.3594422,-83.0643655
"November 30, 2017",Michigan,Detroit,11000 block of Gunston,1,4,,MI,42.4088339,-82.9957697
"November 24, 2017",Mississippi,Brookhaven,119 Martin Street,1,6,,MS,31.5738871,-90.4441907
"November 24, 2017",Ohio,Cleveland,11618 Buckeye Rd,1,5,,OH,41.4807147,-81.60217770000001
"November 18, 2017",Minnesota,Minneapolis,3600 block of Emerson Avenue North,0,4,,MN,45.020489,-93.29396799999999
"November 17, 2017",Louisiana,New Iberia,900 Block of Mississippi St,0,4,,LA,30.0113292,-91.84125159999999
"November 16, 2017",Georgia,Columbus,1400 block of 15th Street,0,7,,GA,32.4725925,-84.9700489
"November 14, 2017",California,Corning,17357 Stagecoach Rd,6,12,,CA,40.0187478,-122.3930903
"November 14, 2017",California,Richmond,900 Block of View Dr,2,2,,CA,37.977882,-122.313528
"November 12, 2017",Indiana,Gary,4601 Melton Rd,0,7,,IN,41.5949857,-87.2812842
"November 12, 2017",California,Fresno,S Calvin Ave,0,5,,CA,36.681821,-119.7342994
"November 12, 2017",Georgia,Atlanta,50 Lower Alabama St,2,2,,GA,33.7518213,-84.38967939999999
"November 11, 2017",Texas,Dallas,2532 Martin Luther King Jr Blvd,1,3,,TX,32.7666882,-96.77068299999999
"November 11, 2017",Louisiana,New Orleans,Forstall Street and Burgundy Street,1,5,,LA,29.9602617,-90.02212089999999
"November 11, 2017",North Carolina,Fayetteville,2835 Bragg Blvd,1,5,,NC,35.0736788,-78.9278076
"November 10, 2017",Ohio,Dayton (Trotwood),193 Olive Rd,0,4,,OH,39.7492184,-84.2925357
"November 9, 2017",Pennsylvania,Philadelphia,1800 block of Ringgold,0,4,,PA,39.9301445,-75.1859671
"November 5, 2017",Texas,Sutherland Springs,216 4th St,27,20,,TX,29.2732182,-98.05634289999999
"November 4, 2017",Texas,Austin,N Lamar Blvd and Masterson Pass,0,4,,TX,30.37121,-97.6924185
"November 4, 2017",Ohio,Youngstown,2810 Market St,0,4,,OH,41.0710585,-80.6582258
"November 4, 2017",California,Santa Monica,1515 Ocean Avenue,1,3,,CA,34.0125175,-118.4954743
"November 3, 2017",Minnesota,Minneapolis,10th Ave S and E 24th St,0,4,,MN,44.9591262,-93.2600279
"November 3, 2017",California,Gardena,E 163rd St and S Main St,0,4,,CA,33.8838693,-118.2758624
"November 3, 2017",New York,Buffalo,147 Roosevelt Ave,0,4,,NY,42.9336703,-78.8079851
"November 3, 2017",Louisiana,Lacombe,27600 block of Mirmar Street,1,4,,LA,30.3098371,-89.9421959
"October 29, 2017",Texas,Austin,5500 block of Ave F,1,3,,TX,30.3200348,-97.7198499
"October 28, 2017",Ohio,Toledo,1327 N Huron St,0,4,,OH,41.6618289,-83.5220337
"October 28, 2017",Virginia,Petersburg,N Sycamore St and Franklin,1,3,,VA,37.2285381,-77.4035777
"October 27, 2017",Kentucky,Louisville,1716 Prentice St,0,6,,KY,38.2406851,-85.7842151
"October 27, 2017",California,San Francisco,1100 block of Fillmore,0,4,,CA,37.7798911,-122.4317277
"October 23, 2017",California,Clearlake Oaks,13000 block of Anchor Village,2,3,,CA,39.0242052,-122.6610864
"October 22, 2017",Connecticut,Hartford,Wethersfield Avenue and Elliott Street,0,4,,CT,41.7464242,-72.673327
"October 22, 2017",Alabama,Lanett,1606 19th St Sw,2,7,,AL,32.8439199,-85.2437375
"October 21, 2017",Florida,Jacksonville,164 E Eubanks St,0,4,,FL,30.4847121,-81.6223352
"October 21, 2017",Tennessee,Nashville,1277 12th Ave S,0,4,,TN,36.14142700000001,-86.78853
"October 21, 2017",Pennsylvania,Chester,1200 block of W Carlas Ln,0,4,,PA,39.8470906,-75.3826072
"October 21, 2017",Florida,Tampa,400 Block of E Nordica St,0,4,,FL,27.9781718,-82.45660769999999
"October 18, 2017",Maryland,Edgewood,2111 Emmorton Park Rd,3,3,,MD,39.4520375,-76.3099044
"October 17, 2017",New York,Brooklyn,181 Martense St,0,4,,NY,40.6516373,-73.9528732
"October 16, 2017",Mississippi,Meridian,5th Street,1,3,,MS,32.3610284,-88.71413340000001
"October 15, 2017",Texas,Houston,6233 Gulfton St,2,2,,TX,29.7159758,-95.4915044
