index,COUNTY
COFFEE,5
SUMNER,5
CAMPBELL,5
SUSSEX,5
ELLIS,5
YAVAPAI,5
OHIO,5
HAMPSHIRE,5
HURON,5
PAGE,5
DECATUR,5
BOSSIER,5
MASON,5
BLAIR,5
TERREBONNE,5
MITCHELL,5
BRAZORIA,5
BERRIEN,5
LEWIS,5
VERMILION,5
MCLENNAN,5
WINDHAM,5
NIAGARA,5
HERNANDO,5
HORRY,5
ASHTABULA,5
HENDERSON,5
HENRICO,5
MESA,4
APACHE,4
MCPHERSON,4
CARTER,4
GIBSON,4
SCHENECTADY,4
BIG HORN,4
KOOTENAI,4
DUTCHESS,4
BARNSTABLE,4
MONTOUR,4
VAN BUREN,4
THURSTON,4
WINSTON,4
MANATI,4
WISE,4
PONTOTOC,4
CHAMPAIGN,4
HAMPTON,4
SAUK,4
CHIPPEWA,4
GILA,4
TOM GREEN,4
WRIGHT,4
SANGAMON,4
RACINE,4
MERRIMACK,4
VIRGINIA BEACH,4
MIAMI,4
CLACKAMAS,4
INDIAN RIVER,4
PLACER,4
GALVESTON,4
ROCKLAND,4
MARIN,4
ALLEGANY,4
COVINGTON,4
LEXINGTON,4
COCONINO,4
TAZEWELL,4
CHELAN,4
CHARLOTTE,4
LYCOMING,4
BARTON,4
WARD,4
ST. FRANCOIS,4
VALLEY,4
PEORIA,4
BELMONT,4
BLAINE,4
MONTEREY,4
PARK,4
BERKSHIRE,4
PICKENS,4
MUSKOGEE,4
SALEM,4
WILLIAMS,4
CHEYENNE,4
STEVENS,4
CAMBRIA,4
GRAYS HARBOR,4
NORTHAMPTON,4
OKMULGEE,4
STORY,4
PUEBLO,4
MCKINLEY,4
WILL,4
LOWNDES,4
WARRICK,4
ADAIR,4
HUTCHINSON,4
LOUDOUN,4
BUNCOMBE,4
PAWNEE,4
GLOUCESTER,4
ONTARIO,4
ST. CROIX,4
ECTOR,4
LICKING,4
ANGELINA,4
DESOTO,4
YUMA,4
MCLEAN,4
MONTCALM,4
GOODHUE,4
MEDINA,4
VIGO,4
WYANDOTTE,4
FOND DU LAC,4
MAUI,4
SUTTER,4
YAKIMA,4
ALBEMARLE,4
SENECA,4
ETOWAH,4
UMATILLA,4
FREMONT,4
WALTON,4
HAYS,4
BROOME,4
HALL,4
EAST FELICIANA,4
ROOSEVELT,4
KITSAP,4
KENTON,4
LIMESTONE,4
CURRY,3
AVOYELLES,3
KAUFMAN,3
FAIRBANKS NORTH STAR,3
SKAGIT,3
SANTA FE,3
MOREHOUSE,3
BARRON,3
TOLLAND,3
HARDEMAN,3
CRITTENDEN,3
PORTER,3
COLORADO,3
WALWORTH,3
GRUNDY,3
HIGHLANDS,3
BARBER,3
BINGHAM,3
MEADE,3
CLAIBORNE,3
FALL RIVER,3
BAKER,3
LEAVENWORTH,3
MCINTOSH,3
WINDSOR,3
OTERO,3
TETON,3
LAURENS,3
OZAUKEE,3
SUNFLOWER,3
ROANE,3
ROCK ISLAND,3
PAULDING,3
HILL,3
CREEK,3
IRON,3
NORTON,3
PEACH,3
ONSLOW,3
SCHUYLKILL,3
ULSTER,3
TODD,3
TUSCARAWAS,3
MUSKINGUM,3
VALDEZ-CORDOVA,3
CLEARWATER,3
NAPA,3
STEPHENS,3
PRINCE WILLIAM,3
PINE,3
SUSQUEHANNA,3
PLUMAS,3
CHAMBERS,3
ATHENS,3
MONONGALIA,3
ELMORE,3
CASCADE,3
HALIFAX,3
FLATHEAD,3
WOODBURY,3
CHAVES,3
THOMAS,3
IBERIA,3
HOLMES,3
WINN,3
MERCED,3
HASKELL,3
RENSSELAER,3
NACOGDOCHES,3
CENTRE,3
LITCHFIELD,3
FANNIN,3
DUBUQUE,3
SIMPSON,3
GRAND,3
JAMES CITY,3
BUFFALO,3
ROCKWALL,3
SANDUSKY,3
IREDELL,3
DAVIESS,3
BARRY,3
TUOLUMNE,3
NESS,3
KENOSHA,3
COLE,3
GILES,3
WASHBURN,3
COWETA,3
MENDOCINO,3
ROWAN,3
SMYTH,3
OTSEGO,3
KERR,3
WHEELER,3
NEMAHA,3
WALLA WALLA,3
DAKOTA,3
OTOE,3
CAPE GIRARDEAU,3
BURKE,3
EAU CLAIRE,3
PLATTE,3
BLACK HAWK,3
LYNCHBURG,3
RALEIGH,3
DEFIANCE,3
ELKHART,3
EL DORADO,3
UPTON,3
EFFINGHAM,3
PEARL RIVER,3
ITASCA,3
WICOMICO,3
RED RIVER,3
HUNT,3
MARATHON,3
MURRAY,3
CARSON CITY,3
BRADLEY,3
MERIWETHER,3
KIOWA,3
BRUNSWICK,3
HARPER,3
SANILAC,3
MCHENRY,3
BEDFORD,3
CROOK,3
YANKTON,3
OLMSTED,3
SARPY,3
LABETTE,3
PETERSBURG,3
LEWIS AND CLARK,3
LEBANON,3
HUMACAO,3
OKANOGAN,3
FAULKNER,3
HALE,3
YELLOWSTONE,3
KENAI PENINSULA,3
OUTAGAMIE,3
LAFOURCHE,3
GREENWOOD,3
BLOUNT,3
CHEMUNG,3
MUSKEGON,3
MINERAL,3
SEVIER,3
GREGORY,2
WHATCOM,2
PIATT,2
BROOKE,2
WHITMAN,2
RUNNELS,2
SITKA,2
BOURBON,2
GUAYAMA,2
JUNEAU,2
BEAUREGARD,2
LEFLORE,2
CHICKASAW,2
MORROW,2
TRAILL,2
RINGGOLD,2
HANOVER,2
ISLAND,2
CATAWBA,2
BANNOCK,2
TWIN FALLS,2
TREMPEALEAU,2
POTTAWATTAMIE,2
OCONTO,2
SANPETE,2
PAYNE,2
WEAKLEY,2
HOWELL,2
COLBERT,2
WALKER,2
RIO BLANCO,2
ANTELOPE,2
BERKELEY,2
DAVIE,2
PACIFIC,2
YUBA,2
ARECIBO,2
CROW WING,2
NATCHITOCHES,2
SHEBOYGAN,2
YOLO,2
CAGUAS,2
COWLEY,2
HOT SPRINGS,2
UPSHUR,2
ATCHISON,2
RUSH,2
DELTA,2
SHAWANO,2
GADSDEN,2
STONE,2
PORTAGE,2
HARFORD,2
ELKO,2
LA PAZ,2
MISSISSIPPI,2
ST. MARY,2
BURNET,2
CANADIAN,2
BONNEVILLE,2
ANOKA,2
SAN BENITO,2
MONTAGUE,2
OLDHAM,2
PHELPS,2
COPIAH,2
COLFAX,2
KAUAI,2
IDAHO,2
SCOTLAND,2
EMMET,2
SAN MIGUEL,2
CHARLES MIX,2
HARNETT,2
HAYWOOD,2
CECIL,2
HOUGHTON,2
JACK,2
PECOS,2
MCLEOD,2
WILBARGER,2
CIBOLA,2
O'BRIEN,2
DOUGHERTY,2
BIG STONE,2
NEW HANOVER,2
ALLEGHANY,2
NESHOBA,2
WOODWARD,2
KAY,2
ANNE ARUNDEL,2
CHOUTEAU,2
WHARTON,2
BUREAU,2
HUMPHREYS,2
IOWA,2
OTTER TAIL,2
DEWEY,2
YOUNG,2
YELLOW MEDICINE,2
GREEN,2
DEAF SMITH,2
BURLEIGH,2
KOSCIUSKO,2
CATTARAUGUS,2
NORTHUMBERLAND,2
GLYNN,2
GRAHAM,2
SIERRA,2
POCAHONTAS,2
DUCHESNE,2
CRENSHAW,2
ROANOKE CITY,2
HART,2
WYOMING,2
GALLATIN,2
EDDY,2
NOBLE,2
POPE,2
COTTONWOOD,2
IMPERIAL,2
PANOLA,2
TIPTON,2
ORANGEBURG,2
LATIMER,2
NEVADA,2
MILAM,2
BOX ELDER,2
GASTON,2
WILKES,2
WATAUGA,2
DEER LODGE,2
MILLARD,2
YAMHILL,2
CABARRUS,2
HARLAN,2
WILLIAMSBURG,2
OXFORD,2
GEARY,2
MILLER,2
INYO,2
WRANGELL-PETERSBURG,2
FREDERICKSBURG,2
YELL,2
LAVACA,2
DESCHUTES,2
NASH,2
GEORGETOWN,2
PORTSMOUTH,2
ST. JAMES,2
CARLTON,2
BARBOUR,2
HENDRICKS,2
PISCATAQUIS,2
MCKEAN,2
IONIA,2
WHITLEY,2
CALLAWAY,2
LA PLATA,2
CONCORDIA,2
BECKHAM,2
CANYON,2
GEAUGA,2
MOORE,2
VAN WERT,2
BELTRAMI,2
COLUMBIANA,2
WINCHESTER,2
TEXAS,2
SCHUYLER,2
CLARENDON,2
CERRO GORDO,2
HOPKINS,2
ASHLAND,2
RENVILLE,2
CITRUS,2
GUERNSEY,2
WABASH,2
RIPLEY,2
RILEY,2
EATON,2
EVANGELINE,2
BULLOCH,2
NEW LONDON,2
HOKE,2
ROLETTE,2
PITTSBURG,2
RICE,2
COWLITZ,2
SCHOOLCRAFT,2
UINTA,2
SARATOGA,2
TUSCOLA,2
ANDROSCOGGIN,2
CRAVEN,2
LAC QUI PARLE,2
PARKER,2
FORD,2
CLATSOP,2
ALLEGAN,2
MANITOWOC,2
BOYD,2
LAPORTE,2
MADERA,2
SURRY,2
HIGHLAND,2
NEWPORT,2
WELLS,2
MORTON,2
MARQUETTE,2
DESHA,2
BON HOMME,2
LENAWEE,2
WALSH,2
GRADY,2
MATAGORDA,2
SWIFT,2
JOHNSTON,2
CLALLAM,2
TALLAPOOSA,2
GOSHEN,2
CACHE,2
CLARION,2
KLICKITAT,2
SCIOTO,2
CLEARFIELD,2
TYLER,2
TRINITY,2
GAGE,2
ROSS,2
WOODFORD,2
SISKIYOU,2
MCMINN,2
COFFEY,2
LARAMIE,2
FAJARDO,2
PRESTON,2
FORREST,2
DEARBORN,2
SABINE,2
MACOUPIN,2
MCDOWELL,2
RENO,2
STAFFORD,2
STRAFFORD,2
SILVER BOW,2
SWEETWATER,2
NICHOLAS,2
SWAIN,2
OSAGE,2
TALLADEGA,2
GARVIN,2
HOT SPRING,2
WARE,2
ST. MARTIN,2
MCCRACKEN,2
SEWARD,2
WHITESIDE,2
GUADALUPE,2
SAN GERMAN,2
OSWEGO,2
DARLINGTON,2
GLACIER,2
ANSON,2
RUSK,2
WILKINSON,2
STAUNTON,2
WATONWAN,2
HARVEY,2
ROGERS,2
COLQUITT,2
REAGAN,2
DANVILLE,2
BREMER,2
HAMBLEN,2
MISSOULA,2
WEBER,2
KALAMAZOO,2
CEDAR,2
STUTSMAN,2
FRIO,2
CULLMAN,2
MCDUFFIE,2
COOKE,2
HOLT,2
CHICOT,2
NYE,2
SANDOVAL,2
NELSON,2
LEA,2
KANKAKEE,2
HUGHES,2
LA CROSSE,2
ARKANSAS,2
MODOC,2
HENDRY,1
MAYES,1
CHERRY,1
BENZIE,1
LE SUEUR,1
LUNA,1
REEVES,1
