STNAME,CTYNAME,POPESTIMATE2017
Massachusetts,Essex County,785205
Massachusetts,Franklin County,70702
Massachusetts,Hampden County,469818
Massachusetts,Hampshire County,161834
Massachusetts,Middlesex County,1602947
Massachusetts,Nantucket County,11229
Massachusetts,Norfolk County,700322
Massachusetts,Plymouth County,515142
Massachusetts,Suffolk County,797939
Massachusetts,Worcester County,826116
New Hampshire,New Hampshire,1342795
New Hampshire,Belknap County,60785
New Hampshire,Carroll County,48064
New Hampshire,Cheshire County,75960
New Hampshire,Coos County,31634
New Hampshire,Grafton County,89386
New Hampshire,Hillsborough County,409697
New Hampshire,Merrimack County,149216
New Hampshire,Rockingham County,306363
New Hampshire,Strafford County,128613
New Hampshire,Sullivan County,43077
New Jersey,New Jersey,9005644
New Jersey,Atlantic County,269918
New Jersey,Bergen County,948406
New Jersey,Burlington County,448596
New Jersey,Camden County,510719
New Jersey,Cape May County,93553
New Jersey,Cumberland County,152538
New Jersey,Essex County,808285
New Jersey,Gloucester County,292206
New Jersey,Hudson County,691643
New Jersey,Hunterdon County,125059
New Jersey,Mercer County,374733
New Jersey,Middlesex County,842798
New Jersey,Monmouth County,626351
New Jersey,Morris County,499693
New Jersey,Ocean County,597943
New Jersey,Passaic County,512607
New Jersey,Salem County,62792
New Jersey,Somerset County,335432
New Jersey,Sussex County,141682
New Jersey,Union County,563892
New Jersey,Warren County,106798
New Mexico,New Mexico,2088070
New Mexico,Bernalillo County,676773
New Mexico,Catron County,3587
New Mexico,Chaves County,64866
New Mexico,Cibola County,26853
New Mexico,Colfax County,12174
New Mexico,Curry County,49812
New Mexico,De Baca County,1829
New Mexico,Doña Ana County,215579
New Mexico,Eddy County,56997
New Mexico,Grant County,27687
New Mexico,Guadalupe County,4429
New Mexico,Harding County,692
New Mexico,Hidalgo County,4305
New Mexico,Lea County,68759
New Mexico,Lincoln County,19395
New Mexico,Los Alamos County,18738
New Mexico,Luna County,24078
New Mexico,McKinley County,72564
New Mexico,Mora County,4551
New Mexico,Otero County,65817
New Mexico,Quay County,8306
New Mexico,Rio Arriba County,39159
New Mexico,Roosevelt County,18847
New Mexico,Sandoval County,142507
New Mexico,San Juan County,126926
New Mexico,San Miguel County,27748
New Mexico,Santa Fe County,148750
New Mexico,Sierra County,11116
New Mexico,Socorro County,16798
New Mexico,Taos County,32795
New Mexico,Torrance County,15506
New Mexico,Union County,4187
New Mexico,Valencia County,75940
South Carolina,South Carolina,5024369
South Carolina,Abbeville County,24722
South Carolina,Aiken County,168179
South Carolina,Allendale County,9002
South Carolina,Anderson County,198759
South Carolina,Bamberg County,14381
South Carolina,Barnwell County,21345
South Carolina,Beaufort County,186844
South Carolina,Berkeley County,217937
South Carolina,Calhoun County,14704
South Carolina,Charleston County,401438
South Carolina,Cherokee County,57105
South Carolina,Chester County,32301
South Carolina,Chesterfield County,45948
South Carolina,Clarendon County,34057
South Carolina,Colleton County,37611
South Carolina,Darlington County,67265
South Carolina,Dillon County,30666
South Carolina,Dorchester County,156456
South Carolina,Edgefield County,26693
South Carolina,Fairfield County,22607
South Carolina,Florence County,138566
South Carolina,Georgetown County,61607
South Carolina,Greenville County,506837
South Carolina,Greenwood County,70355
South Carolina,Hampton County,19602
