,state_id,zip,lat,lng,gym count
31918,SC,29331,34.6505,-81.8484,0
31942,LA,71369,30.9227,-91.8676,0
31944,NM,88342,32.3879,-106.1015,0
31946,AR,72061,35.3228,-92.2999,0
31956,MA,1075,42.2567,-72.5792,20
31966,NJ,8240,39.4873,-74.5318,42
31971,LA,71067,32.5968,-93.4935,0
31973,AR,72471,35.8251,-91.1179,0
31982,MA,1079,42.1944,-72.3301,344
31984,ME,4852,43.7656,-69.3124,1
31985,ME,4642,44.3338,-68.8043,307
31992,AK,99774,66.0194,-149.0769,0
31995,LA,71004,32.7484,-93.8631,0
32022,MA,2199,42.3475,-71.082,1300
32031,NJ,8212,38.9357,-74.9542,0
32036,SC,29945,32.673,-80.7843,0
32037,NM,87931,32.9641,-107.4102,0
32049,AK,99832,58.0162,-136.1806,0
32051,NM,87569,35.3464,-105.3007,0
32060,ME,4558,43.8987,-69.5158,0
32061,LA,70391,29.9909,-91.0607,0
32069,MA,2575,41.3999,-70.6545,90
32071,ME,4359,44.1775,-69.7606,24
32075,AK,99656,61.8573,-157.5448,0
32090,ME,4683,44.2227,-68.7578,1
32093,LA,71452,31.5787,-92.9418,0
32097,AR,72036,35.0063,-91.2714,0
32098,AR,72682,36.1401,-92.7374,0
32101,MA,1035,42.3556,-72.5692,1400
32121,AR,71865,33.741,-94.1499,0
32122,NM,87011,34.0646,-105.9496,0
32127,NH,3890,43.8081,-71.1967,99
32129,AK,99605,60.7936,-149.5494,0
32136,AR,72679,35.7342,-92.8279,0
32145,LA,70747,30.8746,-91.6812,0
32151,NJ,7756,40.2119,-74.0078,38
32156,NM,88338,33.4868,-105.382,0
32157,NM,87516,36.1624,-106.4657,0
32164,NM,87832,33.8192,-106.8285,0
32168,NM,87017,36.3202,-106.7687,0
32185,ME,4003,43.7316,-69.9878,3
32188,MA,2047,42.1335,-70.6867,132
32193,AR,71866,33.8805,-94.4039,0
32204,SC,29665,34.7247,-82.9141,0
32211,VT,5678,44.1563,-72.4757,48
32218,NJ,8073,40.0096,-74.8669,0
32227,AR,71971,34.3039,-94.0373,0
32228,NM,87312,35.4226,-108.323,0
32229,AR,72640,36.0111,-93.0532,0
32236,VT,5439,44.495,-73.164,253
32238,SC,29941,32.5431,-80.8126,0
32245,SC,29122,34.2401,-81.3254,0
32248,MA,2543,41.4934,-70.7311,30
32251,AK,99566,61.2815,-142.7906,0
32253,LA,70080,29.8851,-90.434,0
32256,VT,5150,43.3346,-72.5293,16
32270,AR,72426,35.8694,-90.0421,0
32272,NJ,8608,40.219,-74.7678,18
32275,NM,88134,34.3272,-104.0159,0
32284,NH,3850,43.6927,-71.3021,42
32285,NH,3293,43.9701,-71.6782,1
32293,NJ,8316,39.2732,-74.9613,0
32294,ME,4624,44.4228,-67.9871,493
32295,VT,5850,44.5416,-72.0175,1
32305,LA,71425,31.8862,-91.8989,0
32313,AR,72517,36.1323,-91.9732,0
32329,SC,29543,34.2876,-79.2659,0
32354,SC,29163,33.4239,-80.4395,0
32355,AR,71722,33.7154,-93.1537,0
32357,NJ,8561,40.2493,-74.5805,14
32385,VT,5775,43.3625,-73.2313,102
32408,ME,4629,44.4282,-68.5176,0
32414,NJ,7970,40.808,-74.5728,19
32418,AK,99569,58.8169,-158.5296,0
32427,LA,71427,31.396,-92.8925,0
32445,NH,3871,42.9822,-70.7748,1
