State,County,MedianIncome
Colorado,elbert,89653
Colorado,summit,79420
Colorado,morgan,50202
Colorado,fremont,48623
Colorado,conejos,44338
Colorado,garfield,66941
Colorado,montrose,55848
Colorado,dolores,51875
Colorado,mesa,60534
Colorado,broomfield,96787
Colorado,crowley,41270
Colorado,chaffee,59631
Colorado,logan,50000
Colorado,yuma,53502
Colorado,huerfano,41862
Colorado,baca,48080
Colorado,denver,63705
Colorado,adams,64611
Colorado,park,76104
Colorado,bent,42598
Colorado,rio grande,45347
Colorado,lake,57267
Colorado,sedgwick,53500
Colorado,ouray,72229
Colorado,grand,74418
Colorado,arapahoe,73649
Colorado,delta,51539
Colorado,san miguel,77708
Colorado,moffat,68822
Colorado,pueblo,52705
Colorado,san juan,53194
Colorado,lincoln,51875
Colorado,washington county,55606
Colorado,alamosa,49889
Colorado,las animas,53089
Colorado,kit carson,57538
Colorado,teller,73379
Colorado,gunnison,67047
Colorado,pitkin,93981
Colorado,weld,66840
Colorado,kiowa,55938
Colorado,rio blanco,75978
Colorado,clear creek,89583
Connecticut,new london,82076
Connecticut,new haven,79408
Connecticut,windham,74484
Connecticut,fairfield,104250
Connecticut,tolland,95996
Connecticut,hartford,81805
Connecticut,middlesex,98501
Connecticut,litchfield,87945
Delaware,kent,64414
Delaware,new castle,79954
Delaware,sussex,61308
District of Columbia,washington city,79665
Florida,brevard,59810
Florida,dixie,42959
Florida,washington county,45152
Florida,sumter,58068
Florida,suwannee,43716
Florida,jackson,48028
Florida,putnam,40802
Florida,holmes,45713
Florida,santa rosa,66006
Florida,walton,56484
Florida,escambia,55382
Florida,volusia,53086
Florida,bay,57295
Florida,lafayette,52627
Florida,clay,68078
Florida,pasco,53807
Florida,lake,54237
Florida,taylor,42684
Florida,broward,61526
Florida,nassau,63888
Florida,duval,59238
Florida,okeechobee,43119
Florida,gulf,44574
Florida,leon,68516
Florida,flagler,53823
Florida,seminole,68680
Florida,hillsborough,59894
Florida,bradford,49562
Florida,charlotte,53586
Florida,okaloosa,64668
Florida,orange,56830
Florida,levy,41278
Florida,manatee,58263
Florida,pinellas,59491
Florida,gadsden,50314
Florida,lee,56847
Florida,alachua,62139
Florida,osceola,47839
Florida,martin,68003
Florida,desoto,38565
Florida,franklin,48661
Florida,madison,40486
Florida,monroe,63550
Florida,highlands,42866
Florida,collier,65980
Florida,glades,37317
Florida,hendry,40657
Florida,palm beach,64260
Florida,st. lucie,50334
Florida,gilchrist,46202
Florida,baker,58850
Florida,columbia,45003
Florida,citrus,48013
Florida,st. johns,80707
Florida,hamilton,46295
Florida,hernando,48461
